Achtereind;5583–5583;Waalre;Noord-Brabant;
Achterhoek;7475–7475;Hof van Twente;Overijssel;
Achterhoek;3861–3861;Nijkerk;Gelderland;
Achter-Lindt;3334–3334;Zwijndrecht;Zuid-Holland;
Achterste Brug;5556–5556;Valkenswaard;Noord-Brabant;
Achterste Diesdonk;5724–5724;Asten;Noord-Brabant;
Achterste Erm;7843–7843;Coevorden;Drenthe;
Achterste Heide;5351–5351;Oss;Noord-Brabant;
Achterste Heikant;5541–5541;Reusel-De Mierden;Noord-Brabant;
Achterste Hermalen;5481–5481;Schijndel;Noord-Brabant;
Achterste Rith;4838–4838;Breda;Noord-Brabant;
Achterstehoek;6922–6922;Duiven;Gelderland;
Achter-Thesinge;9797–9797;Ten Boer;Groningen;
Achterveld;3791–3791;Leusden;Utrecht;
Achthoven;4128–4128;Zederik;Zuid-Holland;
Achthuizen;3256–3256;Goeree-Overflakkee;Zuid-Holland;
Achtmaal;4885–4885;Zundert;Noord-Brabant;
Achttienhoven;3651–3651;Nieuwkoop;Zuid-Holland;
Acquoy;4150–4151;Geldermalsen;Gelderland;
Adorp;9774–9774;Winsum;Groningen;
Aduard;9830–9831;Zuidhorn;Groningen;
Aduarderzijl;9892–9892;Winsum;Groningen;
Aekinga;8426–8426;Ooststellingwerf;Fryslân;
Aerdenburg;6913–6913;Rijnwaarden;Gelderland;
Aerdenhout;2110–2111;Bloemendaal;Noord-Holland;
Aerdt;6913–6913;Rijnwaarden;Gelderland;
Afferden;5850–5851;Bergen;Limburg;
Afferden;6654–6654;Druten;Gelderland;
Agodorp;9561–9561;Vlagtwedde;Groningen;
Aijen;5854–5854;Bergen;Limburg;
Akersloot;1920–1921;Castricum;Noord-Holland;
Akker;4724–4724;Roosendaal;Noord-Brabant;
Akkerput;4505–4505;Sluis;Zeeland;
Akkrum;8490–8491;Heerenveen;Fryslân;
Akmarijp;8540–8541;De Fryske Marren;Fryslân;
Albergen;7665–7665;Tubbergen;Overijssel;
Alblasserdam;2950–2954;Alblasserdam;Zuid-Holland;
Ald Terp;9131–9131;Dongeradeel;Fryslân;
Aldeboarn;8495–8495;Heerenveen;Fryslân;
Aldegea;8582–8582;De Fryske Marren;Fryslân;
Aldegea;8614–8614;Súdwest-Fryslân;Fryslân;
Aldemardum;8567–8567;De Fryske Marren;Fryslân;
Aldtsjerk;9064–9064;Tytsjerksteradiel;Fryslân;
Aldwâldmersyl;9294–9294;Kollumerland en Nieuwkruisland;Fryslân;
Alem;5335–5335;Maasdriel;Gelderland;
Alendorp;3451–3454;Utrecht;Utrecht;
Alinghuizen;9951–9951;Winsum;Groningen;
Alkmaar;1800–1827;Alkmaar;Noord-Holland;
Allersma;9891–9891;Winsum;Groningen;
Allingawier;8758–8758;Súdwest-Fryslân;Fryslân;
Almelo;7600–7609;Almelo;Overijssel;
Almen;7218–7218;Lochem;Gelderland;
Almere-Buiten;1334–1336;Almere;Flevoland;
Almere-Haven;1351–1359;Almere;Flevoland;
Almere-Hout;1341–1349;Almere;Flevoland;
Almere-Poort;1361–1363;Almere;Flevoland;
Almere-Stad;1309–1329;Almere;Flevoland;
Almkerk;4286–4286;Woudrichem;Noord-Brabant;
Alphen;5130–5131;Alphen-Chaam;Noord-Brabant;
Alphen;6626–6626;West Maas en Waal;Gelderland;
Alphen aan den Rijn;2400–2409;Alphen aan den Rijn;Zuid-Holland;
Alphen-Oosterwijk;5131–5131;Alphen-Chaam;Noord-Brabant;
Altena;9321–9321;Noordenveld;Drenthe;
Alteveer;7927–7927;De Wolden;Drenthe;
Alteveer;7927–7927;De Wolden;Drenthe;
Alteveer;7915–7915;Hoogeveen;Drenthe;
Alteveer;9306–9306;Noordenveld;Drenthe;
Alteveer;9661–9661;Stadskanaal;Groningen;
Altforst;6628–6628;West Maas en Waal;Gelderland;
Alting;9411–9411;Midden-Drenthe;Drenthe;
Altweert;6006–6006;Weert;Limburg;
Altweerterheide;6006–6006;Weert;Limburg;
Alverna;6603–6603;Wijchen;Gelderland;
Alvershool;5674–5674;Nuenen, Gerwen en Nederwetten;Noord-Brabant;
Ameide;4233–4235;Zederik;Zuid-Holland;
Amen;9446–9446;Aa en Hunze;Drenthe;
America;5966–5966;Horst aan de Maas;Limburg;
Amerika;9342–9342;Noordenveld;Drenthe;
Amerongen;3958–3958;Utrechtse Heuvelrug;Utrecht;
