Achterste Brug;5556?556;Valkenswaard;Noord-Brabant
Achterste Diesdonk;5724?724;Asten;Noord-Brabant
Achterste Erm;7843?843;Coevorden;Drenthe
Achterste Heide;5351?351;Oss;Noord-Brabant
Achterste Heikant;5541?541;Reusel-De Mierden;Noord-Brabant
Achterste Hermalen;5481?481;Schijndel;Noord-Brabant
Achterste Rith;4838?838;Breda;Noord-Brabant
Achterstehoek;6922?922;Duiven;Gelderland
Achter-Thesinge;9797?797;Ten Boer;Groningen
Achterveld;3791?791;Leusden;Utrecht
Achthoven;4128?128;Zederik;Zuid-Holland
Achthuizen;3256?256;Goeree-Overflakkee;Zuid-Holland
Achtmaal;4885?885;Zundert;Noord-Brabant
Achttienhoven;3651?651;Nieuwkoop;Zuid-Holland
Acquoy;4150?151;Geldermalsen;Gelderland
Adorp;9774?774;Winsum;Groningen
Aduard;9830?831;Zuidhorn;Groningen
Aduarderzijl;9892?892;Winsum;Groningen
Aekinga;8426?426;Ooststellingwerf;Frysl?
Aerdenburg;6913?913;Rijnwaarden;Gelderland
Aerdenhout;2110?111;Bloemendaal;Noord-Holland
Aerdt;6913?913;Rijnwaarden;Gelderland
Afferden;5850?851;Bergen;Limburg
Afferden;6654?654;Druten;Gelderland
Agodorp;9561?561;Vlagtwedde;Groningen
Aijen;5854?854;Bergen;Limburg
Akersloot;1920?921;Castricum;Noord-Holland
Akker;4724?724;Roosendaal;Noord-Brabant
Akkerput;4505?505;Sluis;Zeeland
Akkrum;8490?491;Heerenveen;Frysl?
Akmarijp;8540?541;De Fryske Marren;Frysl?
Albergen;7665?665;Tubbergen;Overijssel
Alblasserdam;2950?954;Alblasserdam;Zuid-Holland
Ald Terp;9131?131;Dongeradeel;Frysl?
Aldeboarn;8495?495;Heerenveen;Frysl?
Aldegea;8582?582;De Fryske Marren;Frysl?
Aldegea;8614?614;S?west-Frysl?;Frysl?
Aldemardum;8567?567;De Fryske Marren;Frysl?
Aldtsjerk;9064?064;Tytsjerksteradiel;Frysl?
Aldw?dmersyl;9294?294;Kollumerland en Nieuwkruisland;Frysl?
Alem;5335?335;Maasdriel;Gelderland
Alendorp;3451?454;Utrecht;Utrecht
Alinghuizen;9951?951;Winsum;Groningen
Alkmaar;1800?827;Alkmaar;Noord-Holland
Allersma;9891?891;Winsum;Groningen
Allingawier;8758?758;S?west-Frysl?;Frysl?
Almelo;7600?609;Almelo;Overijssel
Almen;7218?218;Lochem;Gelderland
Almere-Buiten;1334?336;Almere;Flevoland
Almere-Haven;1351?359;Almere;Flevoland
Almere-Hout;1341?349;Almere;Flevoland
Almere-Poort;1361?363;Almere;Flevoland
Almere-Stad;1309?329;Almere;Flevoland
Almkerk;4286?286;Woudrichem;Noord-Brabant
Alphen;5130?131;Alphen-Chaam;Noord-Brabant
Alphen;6626?626;West Maas en Waal;Gelderland
Alphen aan den Rijn;2400?409;Alphen aan den Rijn;Zuid-Holland
Alphen-Oosterwijk;5131?131;Alphen-Chaam;Noord-Brabant
Altena;9321?321;Noordenveld;Drenthe
Alteveer;7927?927;De Wolden;Drenthe
Alteveer;7927?927;De Wolden;Drenthe
Alteveer;7915?915;Hoogeveen;Drenthe
Alteveer;9306?306;Noordenveld;Drenthe
Alteveer;9661?661;Stadskanaal;Groningen
Altforst;6628?628;West Maas en Waal;Gelderland
Alting;9411?411;Midden-Drenthe;Drenthe
Altweert;6006?006;Weert;Limburg
Altweerterheide;6006?006;Weert;Limburg
Alverna;6603?603;Wijchen;Gelderland
Alvershool;5674?674;Nuenen, Gerwen en Nederwetten;Noord-Brabant
Ameide;4233?235;Zederik;Zuid-Holland
Amen;9446?446;Aa en Hunze;Drenthe
America;5966?966;Horst aan de Maas;Limburg
Amerika;9342?342;Noordenveld;Drenthe
Amerongen;3958?958;Utrechtse Heuvelrug;Utrecht
Amersfoort;3800?836;Amersfoort;Utrecht
Ammerstol;2865?865;Krimpenerwaard;Zuid-Holland
Ammerzoden;5324?324;Maasdriel;Gelderland
Amstelhoek;1427?427;De Ronde Venen;Utrecht
Amstelveen;1180?189;Amstelveen;Noord-Holland
Amstenrade;6436?436;Schinnen;Limburg
Amsterdam;1000?099;Amsterdam;Noord-Holland
Amsterdam-Duivendrecht;1099, 1114;Ouder-Amstel;Noord-Holland
Amsterdam-Zuidoost;1100?108;Amsterdam;Noord-Holland
Amsweer;9937?937;Delfzijl;Groningen
Andel;4280?281;Woudrichem;Noord-Brabant
Andelst;6673?673;Overbetuwe;Gelderland
Anderen;9465?465;Aa en Hunze;Drenthe
Andijk;1619?619;Medemblik;Noord-Holland
Ane;7784?784;Hardenberg;Overijssel
Anerveen;7788?788;Hardenberg;Overijssel
Anevelde;7785?785;Hardenberg;Overijssel
Angeren;6687?687;Lingewaard;Gelderland
Angerlo;6986?986;Zevenaar;Gelderland
Anholt;7935?935;De Wolden;Drenthe
Anjum;9133?133;Dongeradeel;Frysl?
Ankeveen;1244?244;Wijdemeren;Noord-Holland
Ankum;7722?722;Dalfsen;Overijssel
Anloo;9467?467;Aa en Hunze;Drenthe
Anna Jacobapolder;4675?675;Tholen;Zeeland
Annabuorren;8632?632;S?west-Frysl?;Frysl?
Annen;9468?468;Aa en Hunze;Drenthe
Annendaal;6061?061;Roerdalen;Limburg
Annerveenschekanaal;9654?654;Aa en Hunze;Drenthe
Anneville;4858?858;Alphen-Chaam;Noord-Brabant
Anreep;9404?404;Assen;Drenthe
Ansen;7964?964;De Wolden;Drenthe
Apeldoorn;7300?336;Apeldoorn;Gelderland
Apenhuizen;7437?437;Deventer;Overijssel
Aperloo;8084?084;Elburg;Gelderland
Appel;3862?862;Nijkerk;Gelderland
Appelscha;8426?426;Ooststellingwerf;Frysl?
Appeltern;6629?629;West Maas en Waal;Gelderland
Appen;7383?383;Voorst;Gelderland
Appingedam;9900?903;Appingedam;Groningen
Arcen;5944?944;Venlo;Limburg
Archem;8148?148;Ommen;Overijssel
Arendnest;5427?427;Boekel;Noord-Brabant
Arensgenhout;6336?336;Nuth;Limburg
